Size,Threads,Sched,Chunk,Time,Type,Value
50,2,2,0,par_time,mean,0.12948905442176872
50,2,2,0,total_time,std_dev,5.551115123125783e-17
50,2,2,0,total_time,mean,0.21538300000000005
50,2,2,1,par_time,std_dev,0.0002784110526726331
50,2,2,1,par_time,mean,0.12950892261904765
50,2,2,1,total_time,std_dev,5.551115123125783e-17
50,2,2,1,total_time,mean,0.21538300000000005
50,2,2,3,par_time,std_dev,0.0002661174665009355
50,2,2,3,par_time,mean,0.12952440740740742
50,2,2,3,total_time,std_dev,5.551115123125783e-17
50,2,2,3,total_time,mean,0.21538300000000005
50,2,3,0,par_time,std_dev,0.0002553017175502872
50,2,3,0,par_time,mean,0.12953706666666667
50,2,3,0,total_time,std_dev,5.551115123125783e-17
50,2,3,0,total_time,mean,0.21538300000000005
50,2,3,1,par_time,std_dev,0.000245614332043032
50,2,3,1,par_time,mean,0.12954742424242424
50,2,3,1,total_time,std_dev,5.551115123125783e-17
50,2,3,1,total_time,mean,0.21538300000000005
50,2,3,3,par_time,std_dev,0.0002368938482237934
50,2,3,3,par_time,mean,0.12955605555555558
50,2,3,3,total_time,std_dev,5.551115123125783e-17
50,2,3,3,total_time,mean,0.21538300000000005
50,4,0,0,par_time,std_dev,0.002891331202482499
50,4,0,0,par_time,mean,0.28616285714285716
50,4,0,0,total_time,std_dev,0.0024460454085297807
50,4,0,0,total_time,mean,0.36842704761904765
50,4,0,1,par_time,std_dev,0.002575686256879422
50,4,0,1,par_time,mean,0.287695142857143
50,4,0,1,total_time,std_dev,0.0017511020235989052
50,4,0,1,total_time,mean,0.36870052380952395
50,4,0,3,par_time,std_dev,0.0023173794635819363
50,4,0,3,par_time,mean,0.28838342857142873
50,4,0,3,total_time,std_dev,0.0014355691181095252
50,4,0,3,total_time,mean,0.3687916825396826
50,4,1,0,par_time,std_dev,0.002426853378379721
50,4,1,0,par_time,mean,0.28910146428571437
50,4,1,0,total_time,std_dev,0.0018524020216622219
50,4,1,0,total_time,mean,0.369384011904762
50,4,1,1,par_time,std_dev,0.0025051407041831184
50,4,1,1,par_time,mean,0.2897267714285715
50,4,1,1,total_time,std_dev,0.0021329060100080234
50,4,1,1,total_time,mean,0.37005560952380956
50,4,1,3,par_time,std_dev,0.0024695513552583774
50,4,1,3,par_time,mean,0.29014364285714295
50,4,1,3,total_time,std_dev,0.0021893816375779408
50,4,1,3,total_time,mean,0.3705033412698413
50,4,2,0,par_time,std_dev,0.0023998809147187496
50,4,2,0,par_time,mean,0.29044140816326536
50,4,2,0,total_time,std_dev,0.0021730821690990757
50,4,2,0,total_time,mean,0.37082314965986396
50,4,2,1,par_time,std_dev,0.0023213390646892873
50,4,2,1,par_time,mean,0.2906647321428572
50,4,2,1,total_time,std_dev,0.0021294876465641514
50,4,2,1,total_time,mean,0.371063005952381
50,4,2,3,par_time,std_dev,0.0022430433882837265
50,4,2,3,par_time,mean,0.29083842857142866
50,4,2,3,total_time,std_dev,0.0020758810057422356
50,4,2,3,total_time,mean,0.37124956084656086
50,4,3,0,par_time,std_dev,0.002168386742606168
50,4,3,0,par_time,mean,0.2909773857142858
50,4,3,0,total_time,std_dev,0.0020196082470137354
50,4,3,0,total_time,mean,0.3713988047619048
50,4,3,1,par_time,std_dev,0.0020985029652651997
50,4,3,1,par_time,mean,0.29109107792207795
50,4,3,1,total_time,std_dev,0.001963955479816948
50,4,3,1,total_time,mean,0.3715209134199135
50,4,3,3,par_time,std_dev,0.002033587500668248
50,4,3,3,par_time,mean,0.2911858214285714
50,4,3,3,total_time,std_dev,0.0019103911130998032
50,4,3,3,total_time,mean,0.3716226706349206
50,8,0,0,par_time,std_dev,0.009172038204037667
50,8,0,0,par_time,mean,0.8643194285714283
50,8,0,0,total_time,std_dev,0.008714010090879262
50,8,0,0,total_time,mean,0.9435275714285714
50,8,0,1,par_time,std_dev,0.007292503248724197
50,8,0,1,par_time,mean,0.867653714285714
50,8,0,1,total_time,std_dev,0.007331401279966282
50,8,0,1,total_time,mean,0.9475002857142854
50,8,0,3,par_time,std_dev,0.007598272138324099
50,8,0,3,par_time,mean,0.8708834920634919
50,8,0,3,total_time,std_dev,0.0067062788382896005
50,8,0,3,total_time,mean,0.9496149841269839
50,8,1,0,par_time,std_dev,0.007268303404418729
50,8,1,0,par_time,mean,0.872665619047619
50,8,1,0,total_time,std_dev,0.006123085720527659
50,8,1,0,total_time,mean,0.950734738095238
50,8,1,1,par_time,std_dev,0.006843682765077954
50,8,1,1,par_time,mean,0.8737348952380952
50,8,1,1,total_time,std_dev,0.005661443514601638
50,8,1,1,total_time,mean,0.9514445047619047
50,8,1,3,par_time,std_dev,0.006447540313501759
50,8,1,3,par_time,mean,0.874447746031746
50,8,1,3,total_time,std_dev,0.005520931340518291
50,8,1,3,total_time,mean,0.9523129206349206
50,8,2,0,par_time,std_dev,0.0060981697389026965
50,8,2,0,par_time,mean,0.874956925170068
50,8,2,0,total_time,std_dev,0.005332439422769879
50,8,2,0,total_time,mean,0.9529332176870747
50,8,2,1,par_time,std_dev,0.0057931049111282235
50,8,2,1,par_time,mean,0.8753388095238095
50,8,2,1,total_time,std_dev,0.005137662126630105
50,8,2,1,total_time,mean,0.9533984404761904
50,8,2,3,par_time,std_dev,0.0055260239801809136
50,8,2,3,par_time,mean,0.8756358306878307
50,8,2,3,total_time,std_dev,0.004950773268732865
50,8,2,3,total_time,mean,0.9537602804232801
50,8,3,0,par_time,std_dev,0.005290690236688369
50,8,3,0,par_time,mean,0.8758734476190476
50,8,3,0,total_time,std_dev,0.004776325626573825
50,8,3,0,total_time,mean,0.9540497523809522
50,8,3,1,par_time,std_dev,0.011277753985435955
50,8,3,1,par_time,mean,0.8790631341991342
50,8,3,1,total_time,std_dev,0.012040679454327177
50,8,3,1,total_time,mean,0.9575745021645021
50,8,3,3,par_time,std_dev,0.01393942538800994
50,8,3,3,par_time,mean,0.8817212063492063
50,8,3,3,total_time,std_dev,0.015093076523411212
50,8,3,3,total_time,mean,0.9605117936507936
50,16,0,0,par_time,std_dev,0.019825342520596225
50,16,0,0,par_time,mean,3.3284798095238095
50,16,0,0,total_time,std_dev,0.019074751729853654
50,16,0,0,total_time,mean,3.408430333333333
50,16,0,1,par_time,std_dev,0.015801514801807647
50,16,0,1,par_time,mean,3.334866666666665
50,16,0,1,total_time,std_dev,0.01461139200286332
50,16,0,1,total_time,mean,3.4135703095238092
50,16,0,3,par_time,std_dev,0.01378351664964495
50,16,0,3,par_time,mean,3.3382964444444436
50,16,0,3,total_time,std_dev,0.01246433625467436
50,16,0,3,total_time,mean,3.416122873015872
50,16,1,0,par_time,std_dev,0.012934663627161565
50,16,1,0,par_time,mean,3.341172583333333
50,16,1,0,total_time,std_dev,0.012792053023747118
50,16,1,0,total_time,mean,3.4200859047619057
50,16,1,1,par_time,std_dev,0.012072959470901517
50,16,1,1,par_time,mean,3.342898266666667
50,16,1,1,total_time,std_dev,0.012390536313766473
50,16,1,1,total_time,mean,3.422463723809524
50,16,1,3,par_time,std_dev,0.01136769960838856
50,16,1,3,par_time,mean,3.3441415793650795
50,16,1,3,total_time,std_dev,0.011853367522143887
50,16,1,3,total_time,mean,3.4240489365079365
50,16,2,0,par_time,std_dev,0.010771834928513807
50,16,2,0,par_time,mean,3.345078639455782
50,16,2,0,total_time,std_dev,0.01131914794758988
50,16,2,0,total_time,mean,3.4251812312925174
50,16,2,1,par_time,std_dev,0.010246258859445235
50,16,2,1,par_time,mean,3.3457814345238095
50,16,2,1,total_time,std_dev,0.01082386052553815
50,16,2,1,total_time,mean,3.426030452380953
50,16,2,3,par_time,std_dev,0.010067122960016207
50,16,2,3,par_time,mean,3.3467713862433865
50,16,2,3,total_time,std_dev,0.010390438377930083
50,16,2,3,total_time,mean,3.426721619047619
50,16,3,0,par_time,std_dev,0.010162399871507346
50,16,3,0,par_time,mean,3.347780166666667
50,16,3,0,total_time,std_dev,0.010358589944122481
50,16,3,0,total_time,mean,3.4274996000000004
50,16,3,1,par_time,std_dev,0.012182603398461871
50,16,3,1,par_time,mean,3.350115333333333
50,16,3,1,total_time,std_dev,0.012760404120311172
50,16,3,1,total_time,mean,3.4300546363636366
50,16,3,3,par_time,std_dev,0.013330518627825272
50,16,3,3,par_time,mean,3.3520613055555555
50,16,3,3,total_time,std_dev,0.014111243659966684
50,16,3,3,total_time,mean,3.432183833333333
50,32,0,0,par_time,std_dev,0
50,32,0,0,par_time,mean,0
50,32,0,0,total_time,std_dev,0
50,32,0,0,total_time,mean,0
